,Text,# of Reviews w/Word,Rating 1,Rating 2,Rating 3,Rating 4,Rating 5,Rating Average
0,disneyland,23319,42.0,59.0,149.0,376.0,728.0,4.25
1,paris,4218,40.0,65.0,150.0,226.0,280.0,3.84
2,florida,3190,16.0,10.0,31.0,32.0,46.0,3.61
3,hong kong,2560,3.0,3.0,12.0,34.0,61.0,4.3
4,california,2443,7.0,2.0,8.0,26.0,51.0,4.19
5,mickey,1927,20.0,15.0,58.0,157.0,291.0,4.26
6,disney world,1826,2.0,5.0,8.0,17.0,20.0,3.92
7,christmas,1655,2.0,3.0,18.0,42.0,103.0,4.43
8,orlando,1648,2.0,5.0,16.0,6.0,20.0,3.76
9,indiana jones,1496,0.0,4.0,11.0,13.0,29.0,4.18
10,french,1348,24.0,21.0,58.0,72.0,70.0,3.58
11,caribbean,1333,4.0,3.0,8.0,16.0,21.0,3.9
12,space mountain,1227,25.0,30.0,105.0,232.0,439.0,4.24
13,halloween,1223,1.0,3.0,9.0,31.0,73.0,4.47
14,california adventure,1061,2.0,1.0,1.0,12.0,17.0,4.24
15,anaheim,1017,0.0,0.0,4.0,5.0,14.0,4.43
16,main street,988,8.0,19.0,64.0,135.0,261.0,4.28
17,english,950,5.0,9.0,25.0,33.0,65.0,4.05
18,fastpass,923,38.0,49.0,101.0,269.0,456.0,4.16
19,an hour,788,184.0,255.0,399.0,596.0,666.0,3.62
20,peter pan,755,5.0,10.0,12.0,19.0,61.0,4.13
21,wdw,748,2.0,0.0,2.0,1.0,5.0,3.7
22,minnie,572,3.0,2.0,5.0,26.0,60.0,4.44
23,magic kingdom,568,5.0,3.0,12.0,20.0,52.0,4.21
24,american,555,1.0,7.0,14.0,12.0,20.0,3.8
25,france,528,2.0,4.0,6.0,5.0,12.0,3.72
26,walt,521,4.0,4.0,16.0,23.0,41.0,4.06
27,monday,518,5.0,5.0,4.0,9.0,15.0,3.63
28,star tours,506,3.0,4.0,20.0,28.0,69.0,4.26
29,fantasyland,504,1.0,10.0,14.0,34.0,84.0,4.33
30,summer,492,42.0,71.0,173.0,371.0,572.0,4.11
31,saturday,486,1.0,1.0,1.0,7.0,18.0,4.43
32,sunday,472,0.0,1.0,4.0,16.0,23.0,4.39
33,chinese,470,3.0,4.0,16.0,23.0,26.0,3.9
34,earth,458,52.0,66.0,91.0,199.0,854.0,4.38
35,splash mountain,456,4.0,5.0,19.0,34.0,91.0,4.33
36,star wars,455,4.0,6.0,17.0,39.0,82.0,4.28
37,matterhorn,453,0.0,0.0,6.0,10.0,35.0,4.57
38,friday,448,1.0,3.0,5.0,10.0,19.0,4.13
39,tokyo,430,2.0,3.0,3.0,8.0,5.0,3.52
40,2 hours,429,89.0,117.0,183.0,222.0,325.0,3.62
41,the haunted mansion,419,2.0,3.0,15.0,18.0,45.0,4.22
42,tomorrowland,416,1.0,1.0,10.0,18.0,27.0,4.21
43,uk,364,14.0,11.0,26.0,20.0,34.0,3.47
44,thunder mountain,346,14.0,34.0,56.0,88.0,164.0,3.99
45,fantasmic,346,3.0,3.0,2.0,12.0,45.0,4.43
46,4 year old,334,21.0,35.0,47.0,115.0,187.0,4.02
47,autopia,334,4.0,1.0,6.0,24.0,27.0,4.11
48,america,333,1.0,7.0,17.0,17.0,35.0,4.01
49,august,325,8.0,3.0,5.0,10.0,23.0,3.76
50,europe,324,2.0,9.0,17.0,16.0,24.0,3.75
51,tuesday,323,0.0,2.0,6.0,10.0,8.0,3.92
52,ratatouille,321,6.0,8.0,20.0,31.0,49.0,3.96
53,thursday,320,1.0,0.0,4.0,8.0,12.0,4.2
54,mystic manor,319,0.0,2.0,6.0,18.0,41.0,4.46
55,disney village,312,5.0,0.0,2.0,15.0,29.0,4.24
56,adventureland,311,0.0,2.0,8.0,7.0,26.0,4.33
57,30 minutes,307,53.0,64.0,107.0,217.0,298.0,3.87
58,the weekend,307,11.0,17.0,53.0,112.0,206.0,4.22
59,45 minutes,304,55.0,71.0,109.0,144.0,176.0,3.57
60,ocean park,303,2.0,3.0,16.0,21.0,16.0,3.79
61,goofy,303,4.0,4.0,9.0,24.0,58.0,4.29
62,two day,302,42.0,59.0,107.0,302.0,622.0,4.24
63,weekday,300,11.0,31.0,87.0,267.0,342.0,4.22
64,a great day,297,5.0,5.0,29.0,197.0,285.0,4.44
65,big thunder mountain,296,4.0,8.0,17.0,30.0,65.0,4.16
66,3 year old,295,16.0,19.0,48.0,101.0,198.0,4.17
67,afternoon,294,21.0,49.0,118.0,392.0,610.0,4.28
68,max,294,42.0,33.0,80.0,198.0,376.0,4.14
69,hongkong,293,4.0,1.0,13.0,15.0,54.0,4.31
70,october,293,0.0,0.0,3.0,5.0,11.0,4.42
71,cinderella,292,2.0,2.0,1.0,6.0,15.0,4.15
72,buzz lightyear,290,3.0,5.0,18.0,25.0,50.0,4.13
73,years,285,213.0,285.0,612.0,949.0,1976.0,4.04
74,pooh,283,1.0,2.0,7.0,29.0,55.0,4.44
75,today,278,31.0,40.0,46.0,51.0,79.0,3.43
76,tomorrow,278,8.0,8.0,30.0,45.0,111.0,4.2
77,5 year old,273,11.0,26.0,51.0,96.0,191.0,4.15
78,three days,271,12.0,20.0,40.0,91.0,182.0,4.19
79,five,271,50.0,54.0,83.0,141.0,236.0,3.81
80,disney paris,268,0.0,0.0,3.0,4.0,5.0,4.17
81,1 hour,267,37.0,49.0,93.0,119.0,137.0,3.62
82,fireworks,266,62.0,135.0,470.0,1404.0,2965.0,4.4
83,20 minutes,264,42.0,58.0,96.0,159.0,281.0,3.91
84,frozen,262,13.0,18.0,24.0,44.0,78.0,3.88
85,australia,261,0.0,1.0,1.0,1.0,4.0,4.14
86,hk,260,5.0,4.0,15.0,45.0,53.0,4.12
87,frontierland,260,0.0,3.0,5.0,11.0,25.0,4.32
88,6 year old,260,10.0,17.0,39.0,79.0,152.0,4.16
89,downtown disney,259,0.0,1.0,4.0,10.0,19.0,4.38
90,next year,256,10.0,13.0,22.0,54.0,188.0,4.38
91,castle,253,51.0,96.0,291.0,674.0,1171.0,4.23
92,60th,245,3.0,2.0,20.0,45.0,226.0,4.65
93,the years,244,10.0,14.0,25.0,63.0,147.0,4.25
94,wednesday,243,0.0,1.0,1.0,3.0,10.0,4.47
95,the first day,242,14.0,23.0,28.0,76.0,121.0,4.02
96,china,241,5.0,5.0,8.0,10.0,11.0,3.44
97,july,241,0.0,0.0,3.0,9.0,11.0,4.35
98,snow white,241,2.0,2.0,2.0,13.0,24.0,4.28
